"","RequestNumber","SampleTimeMS","Bytes","min","max","sd","fileName","createTimeX","totalClicks","rowsError","users","model","version","modelAlias","autounset","setDefaults","ramup","times","defaultVals","diffTimeMins","confPerHour","fileData","createTimeF","fileNameF","confPerHourF","usersF","diffTimeMinsF","totalClicksF","totalConf","fileDate"
"118",35,370.39,5626.86,354,560,42.4687395431491,"Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-25 15:02:14,4100,0,"100","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","1500","1","20",28.15,213.143872113677,"Users: 100

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 1500

 times: 1500

 Errors: 0

 Clicks: 4100

The test started at 2014-11-25 15:02:14 and finished at 2014-11-25 15:30:23

Therefore the total duration was around 28 minutes.

The number of configurations by hour was around 213 

","2014-11-25 15:02:14","Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","213","100","28","4100","100","Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-25 15:02:14"
"119",36,399.21,5675.98,370,605,52.3147612287798,"Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-25 15:02:14,4100,0,"100","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","1500","1","20",28.15,213.143872113677,"Users: 100

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 1500

 times: 1500

 Errors: 0

 Clicks: 4100

The test started at 2014-11-25 15:02:14 and finished at 2014-11-25 15:30:23

Therefore the total duration was around 28 minutes.

The number of configurations by hour was around 213 

","2014-11-25 15:02:14","Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","213","100","28","4100","100","Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-25 15:02:14"
"120",37,411.93,5719.61,390,584,41.495345972455,"Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-25 15:02:14,4100,0,"100","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","1500","1","20",28.15,213.143872113677,"Users: 100

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 1500

 times: 1500

 Errors: 0

 Clicks: 4100

The test started at 2014-11-25 15:02:14 and finished at 2014-11-25 15:30:23

Therefore the total duration was around 28 minutes.

The number of configurations by hour was around 213 

","2014-11-25 15:02:14","Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","213","100","28","4100","100","Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-25 15:02:14"
"121",38,417.2,5752.91,407,578,18.9864385413602,"Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-25 15:02:14,4100,0,"100","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","1500","1","20",28.15,213.143872113677,"Users: 100

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 1500

 times: 1500

 Errors: 0

 Clicks: 4100

The test started at 2014-11-25 15:02:14 and finished at 2014-11-25 15:30:23

Therefore the total duration was around 28 minutes.

The number of configurations by hour was around 213 

","2014-11-25 15:02:14","Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","213","100","28","4100","100","Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-25 15:02:14"
"122",39,440.12,5781.02,424,642,37.2176997101805,"Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-25 15:02:14,4100,0,"100","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","1500","1","20",28.15,213.143872113677,"Users: 100

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 1500

 times: 1500

 Errors: 0

 Clicks: 4100

The test started at 2014-11-25 15:02:14 and finished at 2014-11-25 15:30:23

Therefore the total duration was around 28 minutes.

The number of configurations by hour was around 213 

","2014-11-25 15:02:14","Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","213","100","28","4100","100","Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-25 15:02:14"
"123",40,459.73,5804.19,439,631,36.1313135407754,"Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-25 15:02:14,4100,0,"100","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","1500","1","20",28.15,213.143872113677,"Users: 100

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 1500

 times: 1500

 Errors: 0

 Clicks: 4100

The test started at 2014-11-25 15:02:14 and finished at 2014-11-25 15:30:23

Therefore the total duration was around 28 minutes.

The number of configurations by hour was around 213 

","2014-11-25 15:02:14","Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","213","100","28","4100","100","Test_JT1_100_1500_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-25 15:02:14"
"667",0,1622.125,5619.7475,1411,2470,116.10769512469,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"668",1,302.9375,3639.875,268,518,44.3733713386745,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"669",2,233.2475,3646.9325,208,428,39.1612084129295,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"670",3,204.9625,3590.4925,186,396,30.347380488376,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"671",4,138.9975,3290.8525,122,580,39.1657040621858,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"672",5,327.23,3363.8725,296,548,42.2167945770508,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"673",6,334.6175,3351.4425,301,624,46.2363568578745,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"674",7,387.185,3316.6575,351,597,42.3304315900097,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"675",8,531.08,3652.7025,486,755,49.4403121061435,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"676",9,490.0075,4122.8,449,766,47.3280286880697,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"677",10,462.865,4243.14,416,942,65.3020111224884,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"678",11,398.27,4244.3775,357,773,59.3949197425846,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"679",12,363.3725,4324.1425,329,666,50.119143699418,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"680",13,311.905,4474.8225,285,538,41.1215080104394,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"681",14,340.085,4449.4075,315,552,36.410673130203,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"682",15,384.7475,4427.3175,353,608,47.0864798558252,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"683",16,275.8,4595.8225,258,468,30.8075113712911,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"684",17,206.5575,4616.92,190,405,33.2511773586944,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"685",18,213.8625,4592.9875,199,400,28.4295478636106,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"686",19,226.285,4877.0875,212,431,24.4538084327813,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"687",20,236.0225,4802.4075,217,706,42.6084580275879,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"688",21,249.8625,4986.2375,233,533,36.2514691604454,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
"689",22,249.1775,4927.0675,233,485,30.8470394585671,"Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-26 11:57:23,16400,0,"400","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","4000","1","20",76.75,312.703583061889,"Users: 400

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 4000

 times: 4000

 Errors: 0

 Clicks: 16400

The test started at 2014-11-26 11:57:23 and finished at 2014-11-26 13:14:08

Therefore the total duration was around 77 minutes.

The number of configurations by hour was around 313 

","2014-11-26 11:57:23","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","313","400","77","16400","400","Test_JT1_400_4000_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-26 11:57:23"
